,SMILES,N2 permeability (barrer)
267,*Nc1cccc2c(NC(=O)c3ccc4c(c3)C(C)(C)CC4(C)c3ccc(C(*)=O)cc3)cccc12,0.12
268,*OC(=O)OC1C(C)(C)C(*)C1(C)C,2.6
269,*OC(=O)Oc1c(Br)cc(C(C)(C)c2cc(Br)c(*)c(Br)c2)cc1Br,0.182
270,*OC(=O)Oc1c(C)cc(C(C)(C)c2cc(C)c(*)c(C)c2)cc1C,1.07
271,*OC(=O)Oc1c(Cl)cc(C(C)(C)c2cc(Cl)c(*)c(Cl)c2)cc1Cl,0.36
272,*OC(=O)Oc1ccc(C(C)(C)c2ccc(*)cc2)cc1,0.3215
273,*OC(=O)Oc1ccc(C(C)(c2ccccc2)c2ccc(*)cc2)cc1,0.361
274,*OC(=O)Oc1ccc(C2(c3ccc(*)cc3)c3ccccc3-c3ccccc32)cc1,0.592
275,*OC(=O)Oc1ccc2c(c1)CC(C)(C)C21Cc2cc(*)ccc2C1(C)C,1.373
276,*OC(=O)c1ccc(C(=O)Oc2ccc(C3(c4ccc(O*)c(C)c4)OC(=O)c4ccccc43)cc2C)cc1,0.15
277,*OC1OC(COC(C)=O)C(*)C(O)C1OC(C)=O,0.231
278,*OC1OC(COC(C)=O)C(*)C(OC(C)=O)C1OC(C)=O,0.092
279,*OC1OC(COCC)C(*)C(O)C1OCC,4.09
280,*OC1OC(COCC)C(OC2OC(COCC)C(*)C(OCC)C2OCC)C(OCC)C1O,3.9
281,*OCC(*)CCl,0.24
282,*OCCCCCCC(*)=O,9.51
283,*OCCOC(=O)c1ccc(C(*)=O)cc1,0.011000000000000001
284,*O[Si](*)(C)C,372.75
285,*O[Si](*)(C)CC,160.0
286,*O[Si](*)(C)CCC,181.0
287,*O[Si](*)(C)CCC(F)(F)F,89.15
288,*O[Si](*)(C)CCCCCC,103.0
289,*O[Si](*)(C)CCCCCCCC,85.65
290,*O[Si](*)(C)c1ccccc1,9.795
291,*O[Si](C)(C)CCCCCCCC[Si](*)(C)C,88.1
292,*O[Si](C)(C)CCCCCC[Si](*)(C)C,98.0
293,*O[Si](C)(C)CC[Si](*)(C)C,178.0
